chinatimes.cc	9.078484770223223	3272	1068	173801	0	154000	0	4
kuaixun.stcn.com	9.093003239319934	2364	1136	None	0	864000	126000	3
financialnews.com.cn	9.132390637118164	2319	1180	302843	0	248000	0	4
ag.cngold.org	9.357616906335657	4463	158	16775	0	163000	0	3
house.hexun.com	9.458479211543477	2095	173	None	0	817000	60	3
iceo.com.cn	9.505321855357412	1582	751	201673	0	145000	84	4
mrcjcn.com	9.507299044211344	33296	22579	None	0	214000	2020	3
etnet.com.hk	9.507894738441436	1855	1341	None	0	678000	0	3
sinotf.com	9.639026729865734	1998	926	67897	0	452000	71	3
cn.morningstar.com	9.714266057300012	4737	2240	None	0	43300	41	4
forbeschina.com	9.735677240806535	1949	1091	None	0	59100	41	4
news.chemnet.com	9.890636428086822	1192	607	95975	0	563000	17	3
stock.cnfol.com	9.972692836948596	138	2	None	0	1410000	74500	3
laoqianzhuang.com	10.10053640344885	4396	3047	293208	0	632000	68	3
stock.17ok.com	10.105035829663949	175	92	426	0	213000	13700	2
finance.qianlong.com	10.138722959515096	1308	519	45670	0	241000	32	3
finance.cngold.org	10.143368931967991	1472	11	16775	0	117000	30	3
gold.cngold.org	10.163059526986622	3005	250	16775	0	83800	0	3
stock.123.com.cn	10.29696599972203	49	18	18364	862902	450000	34	0
stock.cnstock.com	10.297395004115458	1852	1239	None	0	312000	0	3
money.qq.com	10.329642295376367	1512	953	9	0	78400	118000	1
wabei.cn	10.375439689309001	2670	1141	296756	0	621000	12600	3
tmtpost.com	10.427867049459692	6418	2469	None	0	161000	18500	3
quote.hexun.com	10.439138898317157	696	476	None	0	399000	0	3
hk.finance.yahoo.com	10.463235960474513	689	281	None	0	420000	87	3
money.cnn.com	10.485028606095266	349	219	None	0	509000	0	3
insurance.cnfol.com	10.528767844855217	1716	1211	None	0	253000	10	3
miaogu.com	10.543147206420361	2714	1623	69926	0	160000	72	3
hk.stock.hexun.com	10.593869558106043	663	14	None	0	394000	31600	3
stock.stcn.com	10.706713067550808	1154	411	None	0	272000	0	3
bank.cnfol.com	10.797538866854921	709	381	None	0	287000	19	3
china.caixin.com	10.85719133405085	4225	21	None	0	157000	0	3
ccstock.cn	10.87010634054166	903	280	315673	0	638000	10000	3
news.cnpc.com.cn	11.004712325830724	1675	695	None	0	171000	38	3
geekpark.net	11.092777859417552	2177	949	23413	0	43800	86	3
cpnn.com.cn	11.157784064874036	1244	551	396302	0	482000	11500	3
cfen.com.cn	11.213503558349558	894	445	None	0	64400	110000	3
news.pharmnet.com.cn	11.237636967807159	331	224	None	0	242000	35	3
bwchinese.com	11.295861073603305	1550	801	288178	0	299000	72	3
chinaipo.com	11.389603953459092	4352	1922	10742	0	235000	28	2
investide.cn	11.428284707836344	1866	1091	276178	0	231000	27	3
news.xinhua08.com	11.5432666251731	341	179	199536	0	318000	22	3
theverge.com	11.569252751888321	489	193	None	0	160000	0	3
dailyfx.com.hk	11.597190585259504	1267	810	None	0	99700	0	3
longau.com	11.618545898014638	1001	757	15120	0	66700	342000	2
fortune.com	11.70753285847066	589	306	None	0	125000	0	3
pwc.com	11.738488697099005	1051	544	None	0	96200	0	3
xcf.cn	11.754282564455877	1016	459	None	0	97700	0	3
cnwnews.com	11.780578924389914	181	37	9298	0	542000	43	2
